house_number,hhcount,hh_income,latitude,longitude,household_sample_size
0,6,5000,-16.0559292929,34.7696720863,6
1,4,56000,-15.9900636029,34.7784555767,4
2,4,20000,-16.0592894824,34.7609414314,4
3,7,5000,-16.0593737888,34.7556057031,7
4,5,20000,-16.0537980796,34.7301145627,5
5,4,20000,-16.0529253206,34.7686634787,4
6,4,80000,-16.0524207613,34.7740711501,4
7,4,10000,-16.0490162013,34.7801385081,4
8,4,15000,-16.0504081534,34.7601706073,4
9,4,1000,-16.0487309103,34.757346124,4
10,6,20000,-16.0451633,34.7549398,6
11,5,4000,-16.0372583,34.7294772,5
12,3,5000,-16.0238091662,34.7412486707,3
13,4,200000,-16.0232938,34.7842251,4
14,3,20000,-16.0226195,34.7829639,3
15,6,30000,-16.0224663,34.7847095,6
16,2,30000,-16.0231323,34.7815933,2
17,6,30000,-16.0206182467,34.7841658973,6
18,3,30000,-16.018813,34.7845275,3
19,3,10000,-15.9349467,34.7488049,3
20,4,30000,-15.9340079,34.7530704,4
21,3,28000,-15.9360894,34.7499397,3
22,4,20000,-15.9613889,34.7660056,4
23,3,10000,-15.9619695978,34.7747313018,3
24,4,5000,-15.9733276,34.7595411,4
25,3,10000,-15.9718440719,34.7598069418,3
26,4,10000,-15.9782515582,34.7613763095,4
27,6,15000,-15.988853577,34.7818578537,6
28,6,10000,-16.0078142318,34.7890598399,6
29,4,25000,-16.0100675,34.7867183,4
30,6,3000,-16.0115738877,34.7872011659,6
31,5,15000,-16.011299027,34.7864693711,5
32,4,10000,-16.0074874,34.730181,4
33,4,30000,-16.0161463,34.7884584,4
34,8,4000,-16.0114287892,34.7846361346,8
35,2,36000,-16.018115171,34.782957111,2
36,3,40000,-16.0180210045,34.7831356922,3
37,5,10000,-16.0168527421,34.7846080471,5
38,3,20000,-16.0178978,34.7875464,3
