house_number,hhcount,hh_income,latitude,longitude,household_sample_size
0,7,150000,-15.6855663,35.0099086,7
1,4,30000,-15.70642,35.0050066,4
2,4,70000,-15.6888495,34.9921519,4
3,6,120000,-15.7160763,35.0188488,6
4,2,5000,-15.6956376,34.9919176,2
5,5,30000,-15.7109131,35.012468,5
6,6,150000,-15.6844965,34.9832588,6
7,3,50000,-15.6826653,34.9831478,3
8,2,50000,-15.7218762,35.0075866,2
9,4,30000,-15.6795359,34.9986025,4
10,5,30000,-15.7072405,35.0174511,5
11,2,150000,-15.6972484,34.9928809,2
12,5,80000,-15.7063628,34.998027,5
13,4,30000,-15.7136393,35.0175678,4
14,2,40000,-15.7025806,34.9998794,2
15,4,40000,-15.6888183,34.9885983,4
16,5,50000,-15.700908,34.9990886,5
17,4,30000,-15.6909238,34.9912873,4
18,6,70000,-15.695561,34.9918056,6
19,4,70000,-15.6974652,34.9993857,4
20,7,20000,-15.6840664,35.005764,7
21,4,40000,-15.6836999,35.010455,4
22,3,30000,-15.6929919,34.9876878,3
23,6,30000,-15.7220641,35.0048145,6
24,7,40000,-15.6846066,35.0054692,7
25,4,30000,-15.6954549,34.9917862,4
26,6,30000,-15.6945686,34.9844144,6
27,4,26000,-15.6950886,34.9840172,4
28,3,70000,-15.6952221,34.9940202,3
29,7,30000,-15.6834839,35.0066595,7
30,9,6000,-15.6985351,34.9919049,9
31,8,50000,-15.6849135,35.0039563,8
