house_number,hhcount,hh_income,latitude,longitude,household_sample_size
0,5,50000,-15.7822849,35.0429171,5
1,5,30000,-15.7725608,35.0417975,5
2,6,40000,-15.7726924,35.0333651,6
3,8,50000,-15.7716272,35.0315776,8
4,4,50000,-15.7669878,35.0349516,4
5,5,30000,-15.7713931,35.0364142,5
6,6,35000,-15.7663456,35.0356322,6
7,5,30000,-15.7717866,35.0441345,5
8,8,40000,-15.7653306,35.038707,8
9,5,50000,-15.7668356,35.0410159,5
10,8,75000,-15.7734765,35.0368017,8
11,3,100000,-15.7803166,35.0415555,3
12,3,30000,-15.7747725,35.0398667,3
13,6,16000,-15.7770764,35.0466001,6
14,3,30000,-15.7741647,35.0501884,3
15,2,50000,-15.7747201,35.0397878,2
16,3,50000,-15.7673091,35.0384888,3
17,4,30000,-15.7726514,35.0314462,4
18,3,15000,-15.7760919,35.0365343,3
19,5,20000,-15.7675182,35.0390087,5
20,5,200000,-15.7683344,35.0405457,5
21,4,20000,-15.7618481,35.0314234,4
22,8,100000,-15.7823046,35.0429319,8
23,5,50000,-15.7823056,35.0429375,5
24,2,70000,-15.7736662,35.0328118,2
25,3,30000,-15.7713124,35.0323417,3
26,3,70000,-15.7755428,35.0438771,3
27,3,50000,-15.7677328,35.0318111,3
28,4,45000,-15.7694631,35.0317635,4
29,2,50000,-15.772502,35.0319243,2
30,4,80000,-15.7661915,35.0314367,4
31,2,30000,-15.7695961,35.0342384,2
32,3,100000,-15.7782816,35.0405813,3
33,5,15000,-15.7771726,35.04529,5
34,3,55000,-15.7651284,35.0355192,3
35,3,45000,-15.7822572,35.0429138,3
