individual_number,age,ip_sex,house_number
0,55.0,Male ,0
1,48.0,Female,0
2,2.0,Male ,0
3,13.0,Male ,0
4,52.0,Female,1
5,25.0,Male ,1
6,16.0,Male ,1
7,7.0,Female,2
8,35.0,Male ,2
9,28.0,Female,2
10,43.0,Female,3
11,16.0,Male ,3
12,22.0,Male ,3
13,11.0,Female,3
14,14.0,Female,3
15,5.0,Female,4
16,5.0,Male ,4
17,29.0,Female,4
18,11.0,Female,4
19,35.0,Male ,4
20,52.0,Female,5
21,12.0,Female,5
22,3.0,Female,5
23,1.0,Female,5
24,24.0,Female,6
25,29.0,Male ,6
26,5.0,Male ,6
27,32.0,Female,7
28,5.0,Male ,7
29,10.0,Male ,7
30,16.0,Male ,7
31,15.0,Male ,8
32,10.0,Female,8
33,37.0,Male ,8
34,29.0,Female,8
35,32.0,Female,9
36,10.0,Male ,9
37,14.0,Female,10
38,11.0,Male ,10
39,2.0,Female,10
40,7.0,Female,10
41,13.0,Male ,11
42,45.0,Female,11
43,50.0,Male ,11
44,8.0,Male ,12
45,59.0,Male ,12
46,34.0,Female,13
47,39.0,Male ,13
48,65.0,Female,14
49,16.0,Female,14
50,54.0,Female,15
51,53.0,Female,16
52,53.0,Female,16
53,3.0,Female,17
54,37.0,Male ,17
55,45.0,Female,18
56,21.0,Female,18
57,60.0,Male ,18
58,30.0,Male ,19
59,26.0,Female,19
60,5.0,Female,19
61,20.0,Female,20
62,24.0,Male ,20
63,25.0,Male ,21
64,37.0,Female,22
65,32.0,Male ,22
66,5.0,Female,22
67,1.0,Female,22
68,44.0,Male ,23
69,37.0,Female,23
70,45.0,Female,24
71,8.0,Male ,25
72,41.0,Female,25
73,43.0,Male ,25
74,34.0,Male ,26
75,6.0,Male ,27
76,44.0,Male ,27
77,3.0,Female,27
78,11.0,Female,27
79,16.0,Female,27
80,32.0,Female,27
81,1.0,Male ,28
82,2.0,Male ,28
83,41.0,Male ,28
84,9.0,Female,28
85,34.0,Female,28
86,2.0,Male ,29
87,5.0,Male ,29
88,21.0,Male ,29
89,9.0,Female,30
90,3.0,Female,30
91,26.0,Female,30
92,32.0,Male ,30
93,4.0,Female,31
94,30.0,Female,31
95,15.0,Male ,32
96,33.0,Female,32
97,46.0,Male ,32
98,1.0,Female,33
99,35.0,Female,33
100,68.0,Male ,34
101,51.0,Female,34
102,29.0,Female,35
103,5.0,Female,35
104,29.0,Female,36
105,5.0,Female,36
106,2.0,Female,36
107,5.0,Female,37
108,30.0,Female,37
109,4.0,Male ,37
110,40.0,Male ,37
111,8.0,Female,38
112,33.0,Female,38
113,41.0,Male ,38
114,3.0,Female,0
115,15.0,Female,0
116,23.0,Male ,1
117,24.0,Female,2
118,33.0,Female,3
119,32.0,Female,3
120,19.0,Male ,6
121,57.0,Female,9
122,53.0,Male ,9
123,35.0,Female,10
124,23.0,Female,10
125,7.0,Male ,11
126,38.0,Female,11
127,34.0,Male ,12
128,36.0,Female,13
129,43.0,Female,13
130,16.0,Female,14
131,12.0,Male ,15
132,46.0,Female,15
133,27.0,Female,15
134,8.0,Male ,15
135,10.0,Female,15
136,10.0,Male ,17
137,0.0,Female,17
138,3.0,Male ,17
139,8.0,Female,17
140,37.0,Female,20
141,4.0,Female,20
142,29.0,Male ,21
143,1.0,Male ,21
144,1.0,Female,23
145,48.0,Female,24
146,37.0,Male ,24
147,0.0,Female,24
148,21.0,Male ,26
149,23.0,Male ,26
150,17.0,Female,26
151,4.0,Female,28
152,32.0,Female,29
153,21.0,Female,30
154,25.0,Male ,30
155,1.0,Female,31
156,19.0,Female,31
157,25.0,Female,31
158,31.0,Male ,32
159,24.0,Male ,33
160,39.0,Female,33
161,55.0,Male ,34
162,19.0,Female,34
163,9.0,Male ,34
164,22.0,Female,34
165,2.0,Female,34
166,29.0,Female,34
167,31.0,Female,37
