individual_number,age,ip_sex,house_number
0,65.0,Female,0
1,0.0,Female,0
2,8.0,Male ,0
3,23.0,Female,0
4,5.0,Male ,0
5,25.0,Female,1
6,24.0,Male ,1
7,9.0,Female,1
8,0.0,Male ,1
9,48.0,Female,2
10,8.0,Male ,2
11,10.0,Male ,2
12,60.0,Male ,2
13,20.0,Female,3
14,74.0,Male ,4
15,1.0,Female,5
16,22.0,Female,5
17,24.0,Female,6
18,41.0,Male ,6
19,33.0,Female,7
20,6.0,Male ,7
21,37.0,Male ,8
22,46.0,Female,8
23,9.0,Male ,9
24,31.0,Female,9
25,5.0,Male ,9
26,33.0,Male ,9
27,3.0,Male ,10
28,39.0,Female,10
29,3.0,Male ,10
30,7.0,Female,10
31,47.0,Male ,10
32,22.0,Female,11
33,61.0,Female,11
34,21.0,Male ,12
35,45.0,Female,12
36,41.0,Female,13
37,11.0,Female,13
38,7.0,Male ,13
39,71.0,Male ,14
40,7.0,Male ,14
41,67.0,Female,15
42,18.0,Male ,15
43,12.0,Male ,16
44,45.0,Female,16
45,9.0,Female,16
46,55.0,Female,17
47,24.0,Male ,17
48,18.0,Male ,17
49,22.0,Male ,17
50,5.0,Male ,18
51,12.0,Female,18
52,36.0,Female,18
53,7.0,Female,19
54,5.0,Male ,19
55,28.0,Female,19
56,56.0,Female,20
57,10.0,Male ,20
58,31.0,Female,20
59,18.0,Female,20
60,9.0,Male ,20
61,40.0,Female,21
62,50.0,Female,22
63,6.0,Male ,22
64,13.0,Male ,23
65,62.0,Female,23
66,7.0,Male ,23
67,63.0,Male ,23
68,4.0,Male ,23
69,37.0,Female,24
70,62.0,Female,24
71,9.0,Female,24
72,7.0,Female,25
73,27.0,Female,25
74,2.0,Male ,25
75,5.0,Male ,26
76,34.0,Male ,26
77,42.0,Female,26
78,3.0,Female,26
79,1.0,Female,26
80,9.0,Male ,27
81,39.0,Female,27
82,47.0,Male ,27
83,57.0,Female,28
84,3.0,Female,29
85,49.0,Female,29
86,9.0,Male ,29
87,19.0,Female,29
88,21.0,Male ,29
89,5.0,Male ,29
90,20.0,Female,30
91,70.0,Male ,30
92,12.0,Female,30
93,59.0,Female,30
94,17.0,Male ,30
95,16.0,Male ,30
96,13.0,Female,30
97,18.0,Female,30
98,13.0,Male ,30
99,36.0,Female,31
100,17.0,Female,31
101,6.0,Male ,31
102,11.0,Female,31
103,48.0,Female,0
104,10.0,Male ,0
105,15.0,Female,3
106,8.0,Male ,3
107,28.0,Female,3
108,40.0,Female,3
109,61.0,Female,3
110,19.0,Male ,4
111,13.0,Male ,5
112,33.0,Female,5
113,19.0,Female,5
114,9.0,Male ,6
115,35.0,Female,6
116,38.0,Female,6
117,36.0,Male ,6
118,38.0,Female,7
119,13.0,Female,12
120,6.0,Female,12
121,7.0,Female,12
122,3.0,Female,13
123,13.0,Male ,15
124,17.0,Female,15
125,47.0,Female,16
126,3.0,Female,16
127,59.0,Male ,18
128,11.0,Female,18
129,46.0,Male ,18
130,1.0,Male ,19
131,47.0,Male ,20
132,0.0,Female,20
133,8.0,Female,21
134,11.0,Male ,21
135,16.0,Male ,21
136,39.0,Male ,22
137,17.0,Female,23
138,11.0,Female,24
139,41.0,Male ,24
140,17.0,Male ,24
141,9.0,Male ,24
142,30.0,Female,25
143,0.0,Female,26
144,19.0,Female,27
145,53.0,Male ,28
146,9.0,Female,28
147,13.0,Female,29
148,60.0,Male ,31
149,47.0,Male ,31
150,34.0,Female,31
151,9.0,Male ,31
