house_number,hhcount,hh_income,latitude,longitude,household_sample_size
0,6,5000,8224393.24391682,689286.6114840241,6
1,4,56000,8231673.906441668,690288.9564252577,4
2,4,20000,8224029.369181764,688349.2246040764,4
3,7,5000,8224024.887795566,687778.2065001251,7
4,5,20000,8224664.842697742,685055.7521094063,5
5,4,20000,8224726.5855145855,689181.5235470864,4
6,4,80000,8224777.472030035,689760.6607420872,4
7,4,10000,8225148.6529929405,690413.151405848,4
8,4,15000,8225012.874854151,688275.0958859497,4
9,4,1000,8225201.043295968,687974.4283876757,4
10,6,20000,8225598.014845803,687720.2744633304,6
11,5,4000,8226495.670874046,685002.824892699,5
12,3,5000,8227973.3881318765,686275.0260590353,3
13,4,200000,8227991.349551929,690874.9484980672,4
14,3,20000,8228067.1280018445,690740.6115351263,3
15,6,30000,8228082.475382082,690927.5782054956,6
16,2,30000,8228011.641090898,690593.4375569168,2
17,6,30000,8228287.482161856,690871.1577205696,6
18,3,30000,8228486.919001905,690911.5757186062,3
19,3,10000,8237799.960040996,687166.3476947161,3
20,4,30000,8237900.013289439,687623.9231292795,4
21,3,28000,8237672.492453913,687286.7888731168,3
22,4,20000,8234858.382860138,688983.2273086475,4
23,3,10000,8234786.184099721,689916.8172135686,3
24,4,5000,8233543.117559038,688280.0039093458,4
25,3,10000,8233707.042457755,688309.8498273083,3
26,4,10000,8232996.576098491,688471.8499231803,4
27,6,15000,8231804.690342879,690654.2871228575,6
28,6,10000,8229699.874915799,691407.1407425052,6
29,4,25000,8229452.684203509,691154.376142347,4
30,6,3000,8229285.541803743,691204.6231093446,6
31,5,15000,8229316.6319513,691126.560819653,5
32,4,10000,8229789.424852028,685105.6050888828,4
33,4,30000,8228778.397154539,691334.8266846098,4
34,8,4000,8229303.959402347,690930.2261099464,8
35,2,36000,8228565.585313331,690744.16668248,2
36,3,40000,8228575.841652559,690763.369066631,3
37,5,10000,8228703.7680290155,690922.0611733412,5
38,3,20000,8228585.415648111,691235.5486729587,3
39,4,20000,8231673.906441668,690288.9564252577,4
40,4,56,8228575.841652561,690763.3690666304,4
41,4,4000,8239777.346456074,687866.6567490797,4
42,6,15000,8233473.224541292,688291.1376643225,6
43,6,200000,8228067.128001845,690740.6115351263,6
44,4,56,8228565.585313331,690744.1666824793,4
45,3,20000,8228778.397154539,691334.8266846098,3
46,4,56,8223938.976852594,685867.9135096951,4
47,4,56,8232050.607005237,690316.4380211211,4
48,4,5000,8232049.079319714,690462.6668739079,4
49,3,20000,8233707.042457755,688309.8498273076,3
50,4,5000,8229452.684203511,691154.3761423463,4
51,2,30000,8236746.318215823,688051.4865418405,2
52,4,30000,8233543.117559038,688280.0039093458,4
53,6,3000,8224618.547049573,689556.4911524126,6
54,3,10000,8237672.492453913,687286.7888731168,3
55,4,50000,8231927.235617409,690347.3373648307,4
56,3,20000,8232050.607005237,690316.4380211211,3
57,2,40000,8234933.30575518,688736.1815167483,2
58,4,15000,8223786.437555942,686204.7690335878,4
59,4,3000,8236928.246375764,687788.1539371228,4
60,4,46000,8225201.043295968,687974.4283876757,4
61,3,20000,8225598.014845803,687720.274463329,3
62,3,20000,8229699.874915798,691407.1407425052,3
63,4,1000,8228011.641090897,690593.4375569168,4
64,3,250000,8228082.475382084,690927.578205497,3
65,3,20000,8236453.757417036,687635.1836043579,3
66,5,15000,8224655.961977733,685676.4917178082,5
67,3,20000,8227991.349551927,690874.9484980665,3
68,6,15000,8224029.369181763,688349.2246040764,6
69,4,3000,8228703.7680290155,690922.0611733426,4
70,3,20000,8223979.976431952,685498.5946353984,3
71,3,20000,8228700.104007681,691111.8618059901,3
72,3,6000,8225012.874854151,688275.0958859497,3
73,4,30000,8225148.6529929405,690413.151405848,4
74,3,2000,8237799.960040994,687166.3476947166,3
75,6,3000,8234858.382860139,688983.2273086468,6
76,4,30000,8224426.902046394,686130.5154252183,4
77,4,200000,8229303.959402347,690930.2261099464,4
78,5,20000,8226495.670874046,685002.824892699,5
79,3,20000,8236878.776903741,687936.9216167179,3
80,7,5000,8229789.424852027,685105.6050888828,7
81,4,30000,8232170.823666995,690444.7500014724,4
82,5,15000,8226310.851332609,684520.2506016498,5
83,4,46000,8237900.013289439,687623.9231292782,4
84,3,20000,8231337.799023962,690575.6897665493,3
85,4,56,8228135.496237582,690831.3712032153,4
86,5,15000,8229285.541803743,691204.6231093446,5
87,4,46000,8236858.949325755,687628.697179671,4
88,2,30000,8229485.388669521,691437.2881026343,2
89,3,20000,8229799.515774141,691400.6508685709,3
90,4,20000,8231804.690342878,690654.2871228568,4
91,5,10000,8227973.388131874,686275.0260590353,5
92,3,10000,8236645.215424592,687306.5009068665,3
93,4,30000,8229316.6319512995,691126.560819653,4
94,3,6000,8236822.765617505,687870.2579709383,3
95,4,46000,8224726.585514585,689181.5235470857,4
96,3,20000,8224393.243916819,689286.6114840247,3
97,4,15000,8226222.58413388,684487.0572657187,4
98,5,4000,8234786.18409972,689916.8172135686,5
99,3,10000,8228287.482161856,690871.1577205696,3
100,2,36000,8224122.849292706,685651.4668377459,2
101,3,2000,8224391.580136209,685902.1776068292,3
102,4,25000,8228585.415648111,691235.5486729573,4
103,5,25000,8224664.842697741,685055.752109405,5
104,6,10000,8224777.472030034,689760.6607420872,6
105,4,20000,8224024.887795566,687778.2065001251,4
106,4,15000,8228486.919001904,690911.5757186062,4
107,3,10000,8224976.749875467,690128.4649216975,3
108,2,15000,8232996.576098492,688471.8499231797,2
109,3,20000,8226461.365764153,684991.9635436635,3
110,6,5000,8224429.606024491,685924.6066052343,6
111,6,10000,8228082.456708211,690735.9358125299,6
112,4,4000,8229499.132655405,691198.0453216444,4
113,2,40000,8239773.829794943,687830.0722726751,2
114,2,40000,8224699.961979806,685670.1312747585,2
115,4,20000,8237805.630703769,687174.0902932236,4
116,3,250000,8228106.775331936,690879.7129250651,3
117,4,20000,8228556.176359987,691191.0676158761,4
118,6,15000,8232142.7316978015,690488.7458352433,6
119,3,35000,8228800.116797142,691364.8208216438,3
120,3,250000,8239769.658473876,687871.4020045816,3
121,5,25000,8239763.233578316,687839.602960843,5
122,4,5000,8236840.659344293,687643.9329261517,4
123,4,3000,8226528.073309372,685012.7090131153,4
124,3,10000,8231809.6744117355,690630.2887400165,3
125,2,40000,8228463.246866968,690886.373202248,2
126,4,4000,8228085.581522796,690899.7218775096,4
127,5,10000,8236850.629909515,687594.9626682943,5
128,4,3000,8226480.248636609,685019.0397857539,4
129,4,30000,8226518.840299326,684974.1765773625,4
130,3,35000,8231800.645388648,690680.216832307,3
131,4,25000,8236736.654668655,688063.9090602553,4
132,3,20000,8237915.549550272,687595.1969399531,3
133,4,10000,8227984.019948672,690838.3492616663,4
134,4,10000,8233487.527245823,688295.1053901538,4
135,3,24000,8228666.885196436,691085.6151875018,3
136,3,30000,8229279.9997157175,691163.7456379682,3
137,3,40000,8232030.353470058,690417.3089658105,3
138,4,25000,8236884.463583631,687550.0402921031,4
139,4,20000,8236917.521885624,687813.0717684354,4
140,3,250000,8226214.989264265,684481.225865666,3
141,5,15000,8224976.502440061,690157.3031650017,5
142,3,10000,8226186.544497736,684455.032291319,3
143,3,10000,8228127.861694842,690872.2023246717,3
144,3,20000,8232082.370044194,690481.2232224126,3
