house_number,hhcount,hh_income,latitude,longitude,household_sample_size
0,7,150000,8265147.283803063,715388.028775741,7
1,4,30000,8262844.392463561,714840.6104541478,4
2,4,70000,8264801.917229745,713480.8527216921,4
3,6,120000,8261761.6136204265,716314.3394307971,6
4,2,5000,8264050.922312448,713448.6670329366,2
5,5,30000,8262339.546304859,715635.7652176017,5
6,6,150000,8265292.60347357,712531.9236625702,6
7,3,50000,8265495.370581016,712521.9197623628,3
8,2,50000,8261131.233028497,715100.9560065555,2
9,4,30000,8265826.130559924,714182.1541139028,4
10,5,30000,8262740.90600035,716173.8350245969,5
11,2,150000,8263871.684966857,713550.2623000485,2
12,5,80000,8262857.800781086,714092.4384824845,5
13,4,30000,8262032.628350943,716179.5912283754,4
14,2,40000,8263274.498517064,714294.976349576,2
15,4,40000,8264808.950107112,713099.8992503409,4
16,5,50000,8263460.40501589,714211.9473835964,5
17,4,30000,8264573.22858971,713385.9995711516,4
18,6,70000,8264059.512508325,713436.7395109071,6
19,4,70000,8263841.116549227,714247.3969141066,4
20,7,20000,8265317.488417658,714945.2413235544,7
21,4,40000,8265353.282161873,715448.570563036,4
22,3,30000,8264347.979938662,712997.948603695,3
23,6,30000,8261113.258438864,714803.6039938986,6
24,7,40000,8265258.003912009,714913.0685823774,7
25,4,30000,8264071.274040299,713434.7701392529,4
26,6,30000,8264176.780374566,712645.375967911,6
27,4,26000,8264119.631844933,712602.2537565546,4
28,3,70000,8264094.783457823,713674.5152914984,3
29,7,30000,8265381.044371485,715041.8625604032,7
30,9,6000,8263730.272033128,713444.2884524052,9
31,8,50000,8265225.574224619,714750.5428578389,8
32,4,30000,8261381.628048226,715740.6627416792,4
33,6,30,8262642.586018434,713457.0518298158,6
34,8,200000,8262970.201739199,715428.5433606749,8
35,4,30000,8263610.6855555475,712695.3389189064,4
36,7,40000,8261404.584319689,716175.9106226675,7
37,3,70000,8261087.694886211,715239.5503239831,3
38,5,30000,8265791.307455508,714917.8133125918,5
39,3,30000,8261138.678580296,715435.6883097948,3
40,6,350000,8264933.532689448,713694.7268930438,6
41,4,30000,8263844.748731542,715028.3726302709,4
