house_number,hhcount,hh_income,latitude,longitude,household_sample_size
0,5,50000,8254409.37348113,718823.5054294853,5
1,5,30000,8255486.727697626,718713.9545888013,5
2,6,40000,8255480.901872563,717810.113916513,6
3,8,50000,8255600.637311764,717619.6847856648,8
4,4,50000,8256110.600250382,717986.2346909718,4
5,5,30000,8255621.542531125,718138.2748600488,5
6,6,35000,8256180.96954634,718059.8628450594,6
7,5,30000,8255569.982152127,718965.2427308616,5
8,8,40000,8256290.117174016,718390.4854587235,8
9,5,50000,8256121.160821497,718636.3266130287,5
10,8,75000,8255390.566770071,718177.5747042082,8
11,3,100000,8254628.6252862755,718679.7010857553,3
12,3,30000,8255243.9577367995,718504.6606981744,3
13,6,16000,8254981.980523286,719223.7963347653,6
14,3,30000,8255300.487746376,719611.4840136917,3
15,2,50000,8255249.8388347635,718496.2612144038,2
16,3,50000,8256071.37833108,718364.9826505203,3
17,4,30000,8255487.422953998,717604.5098890592,4
18,3,15000,8255101.3917511,718146.1197043057,3
19,5,20000,8256047.697834109,718420.4779334493,5
20,5,200000,8255955.772982025,718584.3279587422,5
21,4,20000,8256683.067294965,717613.5890923167,4
22,8,100000,8254407.177844194,718825.0703231997,8
23,5,50000,8254407.061349712,718825.6693744251,5
24,2,70000,8255373.701660771,717749.777211336,2
25,3,30000,8255634.687210981,717701.9094985032,3
26,3,70000,8255154.541297541,718933.6244517729,3
27,3,50000,8256031.396522988,717648.8641514627,3
28,4,45000,8255839.950206092,717641.9167745137,4
29,2,50000,8255503.463306802,717655.9071124909,2
30,4,80000,8256202.361736507,717610.3828010964,4
31,2,30000,8255822.6722866865,717907.0130688527,2
32,3,100000,8254854.855493456,718577.4818123389,3
33,5,15000,8254972.697415663,719083.292061972,5
34,3,55000,8256315.796499124,718049.0530325727,3
35,3,45000,8254412.44254349,718823.1815239968,3
36,2,30000,8255636.025914152,717825.763947424,2
37,5,20000,8256389.724791735,717511.75922703,5
38,3,30000,8256272.693302806,717878.5527016664,3
39,3,45000,8256640.568696437,717737.6279236282,3
40,6,100000,8255558.839906049,719080.6595046357,6
41,3,30,8255684.540209824,717391.0568364074,3
42,5,30000,8255185.501487767,719466.3588312826,5
43,4,100000,8256037.973855921,717634.2189438746,4
44,3,25000,8255514.503986046,717988.6214835454,3
45,3,100,8255520.085708725,718092.5445879049,3
46,2,70,8256511.940880851,718068.7941400694,2
47,5,50000,8256172.381451231,717541.3286358814,5
48,5,60000,8254916.756341521,718742.9408938291,5
49,3,40000,8255208.263510359,719535.3218993885,3
50,3,50000,8255285.244799659,719147.0982830655,3
51,3,25000,8255338.45198177,718861.4106304862,3
52,6,50000,8256037.274877123,717668.9542377177,6
53,3,34000,8255536.990352997,718635.9887124465,3
54,3,50000,8255474.417508934,718079.5493597664,3
55,4,120000,8255649.059396662,719079.9134678142,4
56,5,20000,8255456.073029436,718403.7261192132,5
57,3,70000,8255224.192924596,718681.0005787704,3
58,3,30,8255629.728318848,719369.5398132354,3
59,6,100000,8256741.225728799,718123.1569259376,6
60,5,50000,8256473.779621536,717943.4871574921,5
61,5,30000,8255493.379071287,719640.6094787995,5
62,4,70000,8255399.358462826,719226.0373485736,4
63,4,50000,8255884.432599952,718595.1700652017,4
64,5,40000,8255430.1442842,719485.4343790088,5
65,5,30000,8255949.544065858,718567.261025764,5
66,4,100000,8254998.80082389,719155.9090373819,4
67,3,50,8256616.668278274,717841.3669877232,3
68,4,30,8256105.725459051,718482.7091634813,4
69,3,15000,8255693.558975646,718251.0905920118,3
70,6,25000,8255686.435403166,719120.7972346843,6
71,6,50000,8255250.738432224,719085.401918625,6
72,3,50,8255944.002762408,717423.3925197651,3
73,5,60000,8255773.804659806,718375.9877908325,5
74,4,30,8255430.312379807,718800.8872050678,4
75,6,100,8255452.944682613,719649.3167322811,6
76,5,50000,8255685.383249929,717975.0906036678,5
77,4,70000,8255205.33037377,718845.304312977,4
78,6,40000,8255335.600095947,718487.587900141,6
79,3,50000,8255506.840628101,718810.6064885546,3
80,3,45000,8255827.234406887,717709.9399961662,3
81,2,50000,8255624.268471582,718861.193829694,2
82,3,15000,8255981.51357865,717804.2323033554,3
83,4,20000,8254973.191777208,718836.5012641214,4
84,3,34000,8255641.147912417,718298.4336271173,3
85,3,45000,8257185.888331259,717962.8525139573,3
86,3,100000,8256305.741399156,717850.1538563538,3
87,4,50,8255318.491021946,718036.1689789718,4
88,6,150000,8255540.194369944,719445.9493452187,6
89,4,50000,8255363.393878959,718429.3583757782,4
90,6,25000,8256287.356095252,717817.2105043484,6
91,3,15000,8256527.420922425,718141.5741700598,3
92,8,120000,8255234.359523129,718005.7620203774,8
93,4,50000,8256795.518857228,717758.7933806235,4
94,6,25000,8256963.754923724,718039.6729691454,6
95,2,50,8255193.775515108,719121.4109588009,2
96,10,15000,8257231.738545733,717806.7403213647,10
