individual_number,house_number,age,ip_sex
0,0,55.0,Male 
1,0,48.0,Female
2,0,2.0,Male 
3,0,13.0,Male 
4,1,52.0,Female
5,1,25.0,Male 
6,1,16.0,Male 
7,2,7.0,Female
8,2,35.0,Male 
9,2,28.0,Female
10,3,43.0,Female
11,3,16.0,Male 
12,3,22.0,Male 
13,3,11.0,Female
14,3,14.0,Female
15,4,5.0,Female
16,4,5.0,Male 
17,4,29.0,Female
18,4,11.0,Female
19,4,35.0,Male 
20,5,52.0,Female
21,5,12.0,Female
22,5,3.0,Female
23,5,1.0,Female
24,6,24.0,Female
25,6,29.0,Male 
26,6,5.0,Male 
27,7,32.0,Female
28,7,5.0,Male 
29,7,10.0,Male 
30,7,16.0,Male 
31,8,15.0,Male 
32,8,10.0,Female
33,8,37.0,Male 
34,8,29.0,Female
35,9,32.0,Female
36,9,10.0,Male 
37,10,14.0,Female
38,10,11.0,Male 
39,10,2.0,Female
40,10,7.0,Female
41,11,13.0,Male 
42,11,45.0,Female
43,11,50.0,Male 
44,12,8.0,Male 
45,12,59.0,Male 
46,13,34.0,Female
47,13,39.0,Male 
48,14,65.0,Female
49,14,16.0,Female
50,15,54.0,Female
51,16,53.0,Female
52,16,53.0,Female
53,17,3.0,Female
54,17,37.0,Male 
55,18,45.0,Female
56,18,21.0,Female
57,18,60.0,Male 
58,19,30.0,Male 
59,19,26.0,Female
60,19,5.0,Female
61,20,20.0,Female
62,20,24.0,Male 
63,21,25.0,Male 
64,22,37.0,Female
65,22,32.0,Male 
66,22,5.0,Female
67,22,1.0,Female
68,23,44.0,Male 
69,23,37.0,Female
70,24,45.0,Female
71,25,8.0,Male 
72,25,41.0,Female
73,25,43.0,Male 
74,26,34.0,Male 
75,27,6.0,Male 
76,27,44.0,Male 
77,27,3.0,Female
78,27,11.0,Female
79,27,16.0,Female
80,27,32.0,Female
81,28,1.0,Male 
82,28,2.0,Male 
83,28,41.0,Male 
84,28,9.0,Female
85,28,34.0,Female
86,29,2.0,Male 
87,29,5.0,Male 
88,29,21.0,Male 
89,30,9.0,Female
90,30,3.0,Female
91,30,26.0,Female
92,30,32.0,Male 
93,31,4.0,Female
94,31,30.0,Female
95,32,15.0,Male 
96,32,33.0,Female
97,32,46.0,Male 
98,33,1.0,Female
99,33,35.0,Female
100,34,68.0,Male 
101,34,51.0,Female
102,35,29.0,Female
103,35,5.0,Female
104,36,29.0,Female
105,36,5.0,Female
106,36,2.0,Female
107,37,5.0,Female
108,37,30.0,Female
109,37,4.0,Male 
110,37,40.0,Male 
111,38,8.0,Female
112,38,33.0,Female
113,38,41.0,Male 
114,0,3.0,Female
115,0,15.0,Female
116,1,23.0,Male 
117,2,24.0,Female
118,3,33.0,Female
119,3,32.0,Female
120,6,19.0,Male 
121,9,57.0,Female
122,9,53.0,Male 
123,10,35.0,Female
124,10,23.0,Female
125,11,7.0,Male 
126,11,38.0,Female
127,12,34.0,Male 
128,13,36.0,Female
129,13,43.0,Female
130,14,16.0,Female
131,15,12.0,Male 
132,15,46.0,Female
133,15,27.0,Female
134,15,8.0,Male 
135,15,10.0,Female
136,17,10.0,Male 
137,17,0.0,Female
138,17,3.0,Male 
139,17,8.0,Female
140,20,37.0,Female
141,20,4.0,Female
142,21,29.0,Male 
143,21,1.0,Male 
144,23,1.0,Female
145,24,48.0,Female
146,24,37.0,Male 
147,24,0.0,Female
148,26,21.0,Male 
149,26,23.0,Male 
150,26,17.0,Female
151,28,4.0,Female
152,29,32.0,Female
153,30,21.0,Female
154,30,25.0,Male 
155,31,1.0,Female
156,31,19.0,Female
157,31,25.0,Female
158,32,31.0,Male 
159,33,24.0,Male 
160,33,39.0,Female
161,34,55.0,Male 
162,34,19.0,Female
163,34,9.0,Male 
164,34,22.0,Female
165,34,2.0,Female
166,34,29.0,Female
167,37,31.0,Female
168,40,52.0,Female
169,40,16.0,Male 
170,40,25.0,Male 
171,40,18.0,Female
172,44,52.0,Female
173,44,16.0,Male 
174,44,25.0,Male 
175,44,18.0,Female
176,45,33.0,Female
177,45,41.0,Male 
178,45,8.0,Female
179,46,52.0,Female
180,46,16.0,Male 
181,46,25.0,Male 
182,46,18.0,Female
183,47,52.0,Female
184,47,16.0,Male 
185,47,25.0,Male 
186,47,18.0,Female
187,48,45.0,Female
188,48,10.0,Male 
189,48,19.0,Male 
190,48,16.0,Male 
191,50,45.0,Female
192,50,10.0,Male 
193,50,19.0,Male 
194,50,16.0,Male 
195,54,30.0,Male 
196,54,26.0,Female
197,54,5.0,Female
198,57,29.0,Female
199,57,1.0,Male 
200,63,17.0,Female
201,63,12.0,Male 
202,63,32.0,Female
203,63,10.0,Male 
204,64,24.0,Female
205,64,27.0,Male 
206,64,2.0,Male 
207,68,32.0,Female
208,68,44.0,Male 
209,68,16.0,Female
210,68,11.0,Female
211,68,3.0,Female
212,68,6.0,Male 
213,70,40.0,Female
214,70,4.0,Female
215,70,44.0,Male 
216,77,39.0,Male 
217,77,18.0,Female
218,77,34.0,Female
219,77,0.0,Male 
220,80,43.0,Female
221,80,16.0,Male 
222,80,8.0,Male 
223,80,22.0,Male 
224,80,19.0,Male 
225,80,11.0,Female
226,80,14.0,Female
227,85,52.0,Female
228,85,16.0,Male 
229,85,25.0,Male 
230,85,18.0,Female
231,90,37.0,Female
232,90,5.0,Female
233,90,32.0,Male 
234,90,1.0,Female
235,91,30.0,Female
236,91,5.0,Female
237,91,10.0,Male 
238,91,4.0,Male 
239,91,40.0,Male 
240,92,30.0,Male 
241,92,26.0,Female
242,92,5.0,Female
243,93,20.0,Female
244,93,19.0,Male 
245,93,24.0,Male 
246,93,3.0,Male 
247,96,33.0,Female
248,96,41.0,Male 
249,96,8.0,Female
250,98,45.0,Female
251,98,5.0,Male 
252,98,13.0,Male 
253,98,50.0,Male 
254,98,10.0,Male 
255,100,29.0,Female
256,100,5.0,Female
257,104,34.0,Female
258,104,41.0,Male 
259,104,9.0,Female
260,104,7.0,Male 
261,104,2.0,Male 
262,104,1.0,Male 
263,107,41.0,Female
264,107,43.0,Male 
265,107,8.0,Male 
266,108,18.0,Female
267,108,22.0,Male 
268,111,34.0,Female
269,111,41.0,Male 
270,111,9.0,Female
271,111,7.0,Male 
272,111,2.0,Male 
273,111,1.0,Male 
274,113,29.0,Female
275,113,1.0,Male 
276,114,29.0,Female
277,114,1.0,Male 
278,116,24.0,Female
279,116,27.0,Male 
280,116,2.0,Male 
281,117,52.0,Female
282,117,3.0,Female
283,117,1.0,Female
284,117,12.0,Female
285,118,32.0,Female
286,118,44.0,Male 
287,118,16.0,Female
288,118,11.0,Female
289,118,3.0,Female
290,118,6.0,Male 
291,120,24.0,Female
292,120,27.0,Male 
293,120,2.0,Male 
294,122,45.0,Female
295,122,10.0,Male 
296,122,19.0,Male 
297,122,16.0,Male 
298,123,13.0,Male 
299,123,7.0,Female
300,123,30.0,Female
301,123,5.0,Male 
302,125,29.0,Female
303,125,1.0,Male 
304,127,30.0,Female
305,127,5.0,Female
306,127,10.0,Male 
307,127,4.0,Male 
308,127,40.0,Male 
309,128,13.0,Male 
310,128,7.0,Female
311,128,30.0,Female
312,128,5.0,Male 
313,132,40.0,Female
314,132,4.0,Female
315,132,44.0,Male 
316,133,35.0,Female
317,133,3.0,Female
318,133,0.0,Female
