individual_number,house_number,age,ip_sex
0,0,65.0,Female
1,0,0.0,Female
2,0,8.0,Male 
3,0,23.0,Female
4,0,5.0,Male 
5,1,25.0,Female
6,1,24.0,Male 
7,1,9.0,Female
8,1,0.0,Male 
9,2,48.0,Female
10,2,8.0,Male 
11,2,10.0,Male 
12,2,60.0,Male 
13,3,20.0,Female
14,4,74.0,Male 
15,5,1.0,Female
16,5,22.0,Female
17,6,24.0,Female
18,6,41.0,Male 
19,7,33.0,Female
20,7,6.0,Male 
21,8,37.0,Male 
22,8,46.0,Female
23,9,9.0,Male 
24,9,31.0,Female
25,9,5.0,Male 
26,9,33.0,Male 
27,10,3.0,Male 
28,10,39.0,Female
29,10,3.0,Male 
30,10,7.0,Female
31,10,47.0,Male 
32,11,22.0,Female
33,11,61.0,Female
34,12,21.0,Male 
35,12,45.0,Female
36,13,41.0,Female
37,13,11.0,Female
38,13,7.0,Male 
39,14,71.0,Male 
40,14,7.0,Male 
41,15,67.0,Female
42,15,18.0,Male 
43,16,12.0,Male 
44,16,45.0,Female
45,16,9.0,Female
46,17,55.0,Female
47,17,24.0,Male 
48,17,18.0,Male 
49,17,22.0,Male 
50,18,5.0,Male 
51,18,12.0,Female
52,18,36.0,Female
53,19,7.0,Female
54,19,5.0,Male 
55,19,28.0,Female
56,20,56.0,Female
57,20,10.0,Male 
58,20,31.0,Female
59,20,18.0,Female
60,20,9.0,Male 
61,21,40.0,Female
62,22,50.0,Female
63,22,6.0,Male 
64,23,13.0,Male 
65,23,62.0,Female
66,23,7.0,Male 
67,23,63.0,Male 
68,23,4.0,Male 
69,24,37.0,Female
70,24,62.0,Female
71,24,9.0,Female
72,25,7.0,Female
73,25,27.0,Female
74,25,2.0,Male 
75,26,5.0,Male 
76,26,34.0,Male 
77,26,42.0,Female
78,26,3.0,Female
79,26,1.0,Female
80,27,9.0,Male 
81,27,39.0,Female
82,27,47.0,Male 
83,28,57.0,Female
84,29,3.0,Female
85,29,49.0,Female
86,29,9.0,Male 
87,29,19.0,Female
88,29,21.0,Male 
89,29,5.0,Male 
90,30,20.0,Female
91,30,70.0,Male 
92,30,12.0,Female
93,30,59.0,Female
94,30,17.0,Male 
95,30,16.0,Male 
96,30,13.0,Female
97,30,18.0,Female
98,30,13.0,Male 
99,31,36.0,Female
100,31,17.0,Female
101,31,6.0,Male 
102,31,11.0,Female
103,0,48.0,Female
104,0,10.0,Male 
105,3,15.0,Female
106,3,8.0,Male 
107,3,28.0,Female
108,3,40.0,Female
109,3,61.0,Female
110,4,19.0,Male 
111,5,13.0,Male 
112,5,33.0,Female
113,5,19.0,Female
114,6,9.0,Male 
115,6,35.0,Female
116,6,38.0,Female
117,6,36.0,Male 
118,7,38.0,Female
119,12,13.0,Female
120,12,6.0,Female
121,12,7.0,Female
122,13,3.0,Female
123,15,13.0,Male 
124,15,17.0,Female
125,16,47.0,Female
126,16,3.0,Female
127,18,59.0,Male 
128,18,11.0,Female
129,18,46.0,Male 
130,19,1.0,Male 
131,20,47.0,Male 
132,20,0.0,Female
133,21,8.0,Female
134,21,11.0,Male 
135,21,16.0,Male 
136,22,39.0,Male 
137,23,17.0,Female
138,24,11.0,Female
139,24,41.0,Male 
140,24,17.0,Male 
141,24,9.0,Male 
142,25,30.0,Female
143,26,0.0,Female
144,27,19.0,Female
145,28,53.0,Male 
146,28,9.0,Female
147,29,13.0,Female
148,31,60.0,Male 
149,31,47.0,Male 
150,31,34.0,Female
151,31,9.0,Male 
152,35,31.0,Female
153,35,9.0,Male 
154,35,5.0,Male 
155,35,33.0,Male 
156,36,18.0,Female
157,36,11.0,Female
158,36,10.0,Female
159,36,11.0,Male 
160,36,45.0,Male 
161,36,35.0,Female
162,36,6.0,Male 
163,37,16.0,Male 
164,37,19.0,Male 
165,37,57.0,Female
166,39,50.0,Female
167,39,6.0,Male 
168,39,11.0,Male 
169,41,13.0,Male 
170,41,10.0,Male 
171,41,33.0,Female
172,41,3.0,Male 
173,42,7.0,Male 
174,42,71.0,Male 
175,45,30.0,Female
176,45,0.0,Female
177,45,3.0,Female
178,45,10.0,Female
179,45,8.0,Male 
180,45,40.0,Male 
181,51,45.0,Male 
182,51,35.0,Female
183,51,3.0,Female
184,52,1.0,Female
185,52,11.0,Male 
186,52,5.0,Male 
187,52,34.0,Male 
188,52,3.0,Female
189,52,42.0,Female
190,54,24.0,Female
191,54,29.0,Female
192,54,8.0,Female
193,54,10.0,Male 
194,54,41.0,Male 
195,54,0.0,Male 
196,57,28.0,Female
197,57,33.0,Male 
198,57,34.0,Male 
199,57,3.0,Male 
200,57,20.0,Female
201,57,18.0,Male 
202,60,28.0,Female
203,60,33.0,Male 
204,60,34.0,Male 
205,60,3.0,Male 
206,60,20.0,Female
207,60,18.0,Male 
208,61,20.0,Female
209,61,4.0,Female
210,61,42.0,Female
211,61,5.0,Male 
212,64,8.0,Female
213,64,11.0,Female
214,64,24.0,Male 
215,64,40.0,Female
216,67,30.0,Female
217,67,0.0,Female
218,67,3.0,Female
219,67,10.0,Female
220,67,8.0,Male 
221,67,40.0,Male 
222,69,58.0,Female
223,69,21.0,Female
224,70,37.0,Male 
225,70,46.0,Female
226,71,60.0,Female
227,71,63.0,Male 
228,72,64.0,Female
229,72,74.0,Male 
230,74,0.0,Female
231,74,9.0,Female
232,74,43.0,Male 
233,74,28.0,Female
234,74,16.0,Male 
235,74,3.0,Male 
236,76,23.0,Female
237,76,65.0,Female
238,76,8.0,Male 
239,76,30.0,Female
240,76,5.0,Male 
241,76,0.0,Female
242,76,30.0,Female
243,77,57.0,Male 
244,77,54.0,Female
245,77,9.0,Female
246,77,18.0,Male 
247,79,18.0,Female
248,79,11.0,Female
249,79,10.0,Female
250,79,11.0,Male 
251,79,45.0,Male 
252,79,35.0,Female
253,79,6.0,Male 
254,80,39.0,Female
255,80,7.0,Female
256,80,3.0,Male 
257,80,3.0,Male 
258,80,47.0,Male 
259,81,57.0,Male 
260,81,54.0,Female
261,81,9.0,Female
262,81,18.0,Male 
263,83,32.0,Female
264,83,6.0,Female
265,83,12.0,Male 
266,83,44.0,Male 
267,84,37.0,Male 
268,84,38.0,Female
269,84,5.0,Female
270,84,2.0,Male 
271,85,48.0,Female
272,85,10.0,Male 
273,85,8.0,Male 
274,85,60.0,Male 
275,86,16.0,Male 
276,86,19.0,Male 
277,86,57.0,Female
278,88,0.0,Female
279,88,9.0,Female
280,88,43.0,Male 
281,88,28.0,Female
282,88,16.0,Male 
283,88,3.0,Male 
284,93,68.0,Female
285,93,68.0,Male 
286,96,24.0,Female
287,96,29.0,Female
288,96,8.0,Female
289,96,10.0,Male 
290,96,41.0,Male 
291,96,0.0,Male 
292,100,32.0,Female
293,100,6.0,Female
294,100,12.0,Male 
295,100,44.0,Male 
296,103,36.0,Male 
297,103,10.0,Female
298,104,46.0,Female
299,104,12.0,Male 
300,104,23.0,Female
301,104,52.0,Male 
302,105,45.0,Male 
303,105,35.0,Female
304,105,3.0,Female
305,106,61.0,Female
306,106,22.0,Female
307,107,31.0,Female
308,107,9.0,Male 
309,107,5.0,Male 
310,107,33.0,Male 
311,110,23.0,Female
312,110,40.0,Male 
313,113,82.0,Male 
314,113,12.0,Female
315,113,43.0,Female
316,114,33.0,Female
317,114,6.0,Male 
318,114,35.0,Male 
319,115,0.0,Female
