,hid,hh_adults,hh_adolescents,hh_child,hh_youngchild,hhcount,hh_hhhjobstatus,hh_hhhjob,hh_hhhage,hh_hhheducation,hh_hhhsleep,hh_numberincome,hh_income,hh_hhnumber,hh_primary,hh_foodmonth,hh_food2weeks,hh_povertystep,hh_rooms,hh_floor,hh_toiletaway,hh_bathwater,hh_lights,hh_food1,hh_food2,hh_food3,hh_food4,hh_food6,hh_food7,hh_food8,hh_food9,hh_food10,hh_marketveg,hh_marketfruit,hh_manureanimal,hh_eating1,hh_hsbill,hh_hsbdiarrh,hh_hsbfever,hh_hsbcough,hh_hsbseverill,hh_andrugadvice,hh_anvac,hh_anabx,new_hhid,geometry
0,HH416PK,2,1,1,0,4,Paid employee ,Unskilled manual ,35.011635865845314,JCE  ,Other ,1,20000,More than 5,1,Sometimes,Sometimes,1,4,Sand/soil,Borrow a toilet close by ,Tube well / borehole ,"Yes, gas powered lights ",Never ,About once a week ,Never ,Less than once a week ,Several times a week ,Never ,Less than once a week ,About once a week ,About once a week ,Dyeratu,Dyeratu,Put it in the refuse pit ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Farmers or other households ,Prevent animals from becoming sick ,Unsure,0,POINT (3871519.965374729 -1803572.104398951)
1,HH411ZK,4,0,0,0,4,Unemployed ,,54.27241615331965,PSLC ,Cloth / Sack on floor  ,0,56,More than 5,0,Never,Never,2,5,Sand/soil,Borrow a toilet close by ,Tube well / borehole ,"Yes, gas powered lights ",Never ,Never ,Less than once a week ,Never ,Less than once a week ,Never ,About once a week ,Never ,Never ,Tsekera,Tsekera,Use it as manure ,Hand feeding (other caregiver) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Prevent animals from becoming sick ,Unsure,1,POINT (3872040.953449043 -1806809.793707716)
2,HH4817K,3,1,0,0,4,Self employed ,Unskilled manual ,52.21629021218344,PSLC ,Mattress (GRASS) on floor  ,2,4000,One (respondents) ,2,Often,Sometimes,1,3,Sand/soil,Urinate/defaecate in the open ,Tube well / borehole ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Never ,About once a week ,Less than once a week ,Several times a week ,Dyelatu,Dyelatu,Nothing ,Hand feeding (other caregiver) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,My own judgement? ,Prevent animals from becoming sick ,Cure sick animals ,2,POINT (3868930.042091524 -1795115.845393708)
3,HH444HK,2,3,1,0,6,Unemployed ,,36.91444216290212,PSLC ,Cloth / Sack on floor  ,0,15000,Three ,3,Sometimes,Sometimes,1,2,Sand/soil,Borrow a toilet close by ,Tube well / borehole ,"Yes, gas powered lights ",Never ,Less than once a week ,Never ,Never ,Never ,Never ,About once a week ,Never ,Several times a week ,,Dyeratu,Nothing ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Unsure,Unsure,3,POINT (3869426.606925593 -1801707.189333804)
4,HH493XK,3,3,0,0,6,Unemployed ,,32.4517453798768,None ,Mattress (GRASS) on floor  ,1,200000,More than 5,3,Often,Never,2,5,Sand/soil,Borrow a toilet close by ,Tube well / borehole ,No,Less than once a week ,Never ,About once a week ,Less than once a week ,Less than once a week ,Never ,About once a week ,About once a week ,About once a week ,Dyeratu market /Boma market,Dyeratu market,Use it as manure ,Hand feeding (mother) ,Other hospital (gov) ,Other (specify),Other (specify),Other hospital (gov) ,Other hospital (gov) ,The vets ,Cure sick animals ,Cure sick animals ,4,POINT (3872021.829628817 -1807342.379449539)
5,HH411ZK,4,0,0,0,4,Unemployed ,,54.27241615331965,PSLC ,Cloth / Sack on floor  ,0,56,More than 5,0,Never,Never,2,5,Sand/soil,Borrow a toilet close by ,Tube well / borehole ,"Yes, gas powered lights ",Never ,Never ,Less than once a week ,Never ,Less than once a week ,Never ,About once a week ,Never ,Never ,Tsekera,Tsekera,Use it as manure ,Hand feeding (other caregiver) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Prevent animals from becoming sick ,Unsure,5,POINT (3872021.073880794 -1806820.699702788)
6,HH4657K,2,1,0,0,3,Unemployed ,,41.41820670773443,PSLC ,Cloth / Sack on floor  ,0,20000,Four ,1,Sometimes,Never,3,5,Sand/soil,Urinate/defaecate in the open ,Public tap / Standpipe ,"Yes, gas powered lights ",Never ,Never ,Several times a week ,Less than once a week ,Several times a week ,About once a week ,About once a week ,About once a week ,Several times a week ,BOMA MARKET,BOMA MARKET,Use it as manure ,Hand feeding (other caregiver) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,The vets ,Cure sick animals and prevent them from becoming sick ,Cure sick animals ,6,POINT (3872633.474570981 -1806592.673848846)
7,HH411ZK,4,0,0,0,4,Unemployed ,,54.27241615331965,PSLC ,Cloth / Sack on floor  ,0,56,More than 5,0,Never,Never,2,5,Sand/soil,Borrow a toilet close by ,Tube well / borehole ,"Yes, gas powered lights ",Never ,Never ,Less than once a week ,Never ,Less than once a week ,Never ,About once a week ,Never ,Never ,Tsekera,Tsekera,Use it as manure ,Hand feeding (other caregiver) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Prevent animals from becoming sick ,Unsure,7,POINT (3866989.854686488 -1811706.401211856)
8,HH411ZK,4,0,0,0,4,Unemployed ,,54.27241615331965,PSLC ,Cloth / Sack on floor  ,0,56,More than 5,0,Never,Never,2,5,Sand/soil,Borrow a toilet close by ,Tube well / borehole ,"Yes, gas powered lights ",Never ,Never ,Less than once a week ,Never ,Less than once a week ,Never ,About once a week ,Never ,Never ,Tsekera,Tsekera,Use it as manure ,Hand feeding (other caregiver) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Prevent animals from becoming sick ,Unsure,8,POINT (3871545.192965087 -1803177.693144381)
9,HH4489K,3,1,0,0,4,Unemployed ,,45.385352498288846,PSLC ,Cloth / Sack on floor  ,0,5000,Four ,1,Sometimes,Sometimes,2,3,Cement,Urinate/defaecate in the open ,Tube well / borehole ,"Yes, gas powered lights ",Less than once a week ,Less than once a week ,Never ,Never ,Several times a week ,Never ,About once a week ,Never ,Less than once a week ,Dyeratu,Dyeratu,Nothing ,Hand feeding (other caregiver) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Unsure,Unsure,9,POINT (3871697.26652146 -1803177.982639068)
