,hid,hh_adults,hh_adolescents,hh_child,hh_youngchild,hhcount,hh_hhhjobstatus,hh_hhhjob,hh_hhhage,hh_hhheducation,hh_hhhsleep,hh_numberincome,hh_income,hh_hhnumber,hh_primary,hh_foodmonth,hh_food2weeks,hh_povertystep,hh_rooms,hh_floor,hh_toiletaway,hh_bathwater,hh_lights,hh_food1,hh_food2,hh_food3,hh_food4,hh_food6,hh_food7,hh_food8,hh_food9,hh_food10,hh_marketveg,hh_marketfruit,hh_manureanimal,hh_eating1,hh_hsbill,hh_hsbdiarrh,hh_hsbfever,hh_hsbcough,hh_hsbseverill,hh_andrugadvice,hh_anvac,hh_anabx,new_hhid,geometry
0,HH221AC,2,2,0,0,4,Self employed ,Skilled manual ,44.27378507871321,PSLC ,Mattress (GRASS) on floor  ,1,30000,More than 5,2,Sometimes,Never,4,3,Cement,Wait till I get home ,Tube well / borehole ,No,About once a week ,Never ,Less than once a week ,About once a week ,Daily,About once a week ,Less than once a week ,Never ,Daily,Mobile market,Kameza roundabout,Nothing ,Self-feeding with spoon ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,0,POINT (3897688.497454227 -1772268.755331815)
1,HH266LC,3,3,0,0,6,Self employed ,Sales and service ,26.83915126625599,MSCE ,Mattress on floor  ,1,30,More than 5,0,Never,Never,2,3,Sand/soil,Use public toilet ,Tube well / borehole ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Never ,Less than once a week ,Never ,Less than once a week ,Lunzu market,Lunzu market,Use it as manure ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Prevent animals from becoming sick ,Cure sick animals ,1,POINT (3895304.918077756 -1770973.863021677)
2,HH244XC,6,2,0,0,8,Self employed ,Sales and service ,43.175906913073234,JCE  ,Bed and Matress ,1,200000,Two ,2,Never,Never,2,5,Cement,Wait till I get home ,Piped into dwelling ,"Yes, electric lights ",Less than once a week ,Never ,About once a week ,Daily,Daily,Daily,Daily,Never ,Several times a week ,Mobile women,Ngumbe market,Put it in the refuse pit ,Hand feeding (mother) ,Private pharmacy / drug store ,Private pharmacy / drug store ,Private pharmacy / drug store ,Private pharmacy / drug store ,Other hospital (private) ,The vets ,Unsure,Unsure,2,POINT (3897348.722538441 -1770612.087908075)
3,HH2164C,2,2,0,0,4,Paid employee ,Skilled manual ,33.927446954141,PSLC ,Cloth / Sack on floor  ,1,30000,One (respondents) ,1,Sometimes,Sometimes,1,4,Sand/soil,Use public toilet ,Tube well / borehole ,No,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Never ,Less than once a week ,Never ,Less than once a week ,Nkhumbe market,Nkhumbe market,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Cure sick animals ,Cure sick animals ,3,POINT (3894504.581906356 -1769969.88018762)
4,HH246TC,3,4,0,0,7,Paid domestic worker ,Unskilled manual ,45.8590006844627,PSLC ,Bed and Matress ,1,40000,More than 5,4,Sometimes,Sometimes,3,5,Cement,Use public toilet ,Tube well / borehole ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Several times a week ,Ngumbe market,Ngumbe market,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Nowhere,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Prevent animals from becoming sick ,Cure sick animals ,4,POINT (3898140.216922204 -1772240.43377631)
5,HH255RC,2,1,0,0,3,Self employed ,Sales and service ,57.14168377823409,JCE  ,Bed and Matress ,1,70000,Four ,1,Often,Often,3,4,Cement,Borrow a toilet close by ,Tube well / borehole ,"Yes, electric lights ",About once a week ,About once a week ,About once a week ,About once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Several times a week ,Several times a week ,Ngumbe market,Ngumbe market,Use it as manure ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Prevent animals from becoming sick ,Cure sick animals ,5,POINT (3897171.057897415 -1772580.856096068)
6,HH212CC,2,2,1,0,5,Paid employee ,Skilled manual ,24.216290212183434,PSLC ,Mattress (GRASS) on floor  ,2,30000,More than 5,0,Often,Often,2,3,Sand/soil,Use public toilet ,Tube well / borehole ,No,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Several times a week ,Less than once a week ,Less than once a week ,Never ,Daily,Chatha market,Chatha market,Use it as manure ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Farmers or other households ,Cure sick animals and prevent them from becoming sick ,Cure sick animals and prevent them from becoming sick ,6,POINT (3896790.692256359 -1767669.881411297)
7,HH2412C,1,2,0,0,3,Unemployed ,,50.43668720054757,None ,Mattress (GRASS) on floor  ,1,30000,Three ,1,Always,Always,1,4,Sand/soil,Borrow a toilet close by ,Tube well / borehole ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Daily,Never ,Several times a week ,Never ,About once a week ,Pa 10 miles,Pa 10 miles,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals and prevent them from becoming sick ,7,POINT (3897374.220899904 -1772525.636335928)
8,HH2332C,4,2,0,0,6,Paid employee ,Clerical Technical / managerial ,42.74880219028063,MSCE ,Bed and Matress ,3,350000,One (respondents) ,1,Sometimes,Never,3,5,Cement,Borrow a toilet close by ,Public tap / Standpipe ,"Yes, electric lights ",Less than once a week ,About once a week ,Less than once a week ,Less than once a week ,Several times a week ,Less than once a week ,Daily,Daily,About once a week ,Mobile women selling vegetables,Kameza roundabout,Nothing ,Self-feeding with spoon ,Other hospital (private) ,Private pharmacy / drug store ,Health centre (gov) ,Other hospital (private) ,Other hospital (private) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,8,POINT (3895529.294516992 -1768578.042088566)
9,HH247RC,1,2,1,0,4,Unemployed ,,33.5523613963039,JCE  ,Bed and Matress ,1,30000,One (respondents) ,2,Sometimes,Often,2,3,Cement,Wait till I get home ,Tube well / borehole ,"Yes, electric lights ",Less than once a week ,Never ,Less than once a week ,Less than once a week ,Daily,About once a week ,About once a week ,Never ,Several times a week ,Pa miles,Pa 10 miles,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Cure sick animals and prevent them from becoming sick ,Cure sick animals and prevent them from becoming sick ,9,POINT (3896924.616530858 -1769702.360425683)
